Name,Group,Level Auditon,Re-evaluation,ep1
Sung Hanbin,K,-,A,1
Kim Jiwoong,K,-,B,2
Han Yujin,K,-,
Lee Daeul,K,-,
Kim Gyuvin,K,-,
Lee Hoetaek,K,-,
Zhang Hao,G,-,
Anthonny,G,-,
Kim Taerae,K,-,
Cha Woongki,K,-,
Hiroto,G,-,
Ricky,G,-,
Lee Seunghwan,K,-,
Keita,G,-,
Park Gunwook,K,-,
Ma Jing Xiang,G,-,
Oh Sungmin,K,-,
Seo Won,K,-,
Lim Junseo,K,-,
Takuto,G,-,
Krystian,G,-,
Zhang Shuai Bo,G,-,
Ollie,G,-,
Mun Junghyun,K,-,
Dang Hong Hai,G,-,
Lee Dongyeol,K,-,
Bak Doha,K,-,F
Chen Jian Yu,G,-,
Wang Zi Hao,G,-,
Jay,G,-,
Kum Junhyeon,K,-,
Seok Matthew,G,-,
Xuan Hao,G,-,
Park Hanbin,K,-,A
Lee Jeonghyeon,K,-,
Yuki,G,-,
Brian,G,,-,
Lee Hwanhee,K,-,
Haruto,G,-,
Park Hyunbeen,K,-,
Choi Woojin,K,-,D
Cai Jin Xin,G,-,
Lee Donggun,K,-,C
Yoo Seungeon,K,-,
Lee Yedam,K,-,
Choi Seunghun,K,-,
Park Jihoo,K,-,B
Jung Hojin,K,-,
Wumuti,G,-,
Jung Mingyu,K,-,
Jang Yeojun,K,-,
Jeong Ichan,K,-,
Haru,G,-,
Chen Kuan Jui,G,-,
Choi Jiho,K,-,
Wen Ye Chen,G,-,
Yutaka,G,-,
Ichika,G,-,
Chen Ren You,G,-,
Jeon Wooseok,K,-,
Park Gwanyoung,K,-,
Hyo,G,-,
Osuke,G,-,
Park Minseok,K,-,
Itsuki,G,-,
Cong,G,-,
Ouju,G,-,
Jung Seyun,K,-,
Yuto,G,-,
Han Seobin,K,-,
Nice,G,-,
Jang Jiho,K,-,
Yoon Jongwoo,K,-,
Han Yuseop,K,-,
Chen Yu Geng,G,-,
Kei,G,-,
Winne,G,-,
Kim Kimseoung,K,-,
Wang Yanhong,G,-,
Min,G,-,
Jeon Hoyoung,K,-,
Na Kamden,G,-,
Chen Liang,G,-,
Yang Jun,G,-,
Toui,G,-,
Ji Yunseo,K,-,
Hong Keonhee,K,-,
Qu Sheng Yang,G,-,
Lin Shi Yuan,G,-,
Kim Minhyuk,K
Dong Dong,G,-,
Feng Jun Lan,G,-,
Riku,G,-,
